Time(msecs),Uncorrected Depth,Corrected Depth,Drive_Rate,Flow,Feet_of Stainless,Up Hole Pressure,IK,Corrected Pressure,Atm Pressure,Depth to water,Height of box,Res_Pressure,Secs_since_1_JAN_1904,Depth jumps more than 1_foot,Down hole Pressure
942006.25,-34.17,-34.17,0.00,0.17,0.00,31.62,0.01,37.12,31.61,-0.00,5.50,0.00,3584020023.10,0.00,48.66
942024.39,-34.27,-34.27,5.51,0.17,0.00,31.65,0.01,37.12,31.61,-0.00,5.50,0.00,3584020032.69,0.00,5.84
942032.30,-34.37,-34.37,12.64,0.18,0.00,31.65,0.01,37.12,31.61,-0.00,5.50,0.00,3584020045.95,0.00,0.22
942043.95,-34.47,-34.47,8.59,0.17,0.00,31.63,0.01,37.12,31.61,-0.00,5.50,0.00,3584020050.14,0.00,4.24
942045.60,-34.57,-34.57,60.61,0.17,0.00,31.62,0.01,37.12,31.61,-0.00,5.50,0.00,3584020051.79,0.00,2.23
942047.25,-34.67,-34.67,60.46,0.18,0.00,31.61,0.01,37.12,31.61,-0.00,5.50,0.00,3584020053.44,0.00,-0.17
942048.90,-34.77,-34.77,60.64,0.17,0.00,31.63,0.01,37.12,31.61,-0.00,5.50,0.00,3584020055.09,0.00,5.10
942066.42,-37.19,-37.19,138.39,0.17,0.00,31.61,0.01,37.12,31.61,-0.00,5.50,0.00,3584020072.61,888888.88,41.92
942076.28,-37.29,-37.29,10.14,0.17,0.00,31.61,0.01,37.12,31.61,-0.00,5.50,0.00,3584020082.47,0.00,-2.78
942077.93,-37.39,-37.39,60.79,0.18,0.00,31.64,0.01,37.12,31.61,-0.00,5.50,0.00,3584020084.12,0.00,3.39
